Database Source	Sequence ID	Plasmid name	Strain of origin	Sequence length
NCBI	NZ_CP012926.1	p12-4374_37	Salmonella enterica subsp. enterica serovar Heidelberg strain 12-4374	38237
NCBI	NZ_CP019364.1	lpB34	Borrelia turicatae 91E135	34587
NCBI	NC_014732.1	pHBOR04	Halogeometricum borinquense DSM 11551	197619
NCBI	NZ_CP015078.1	pEC448_OXA163	Escherichia coli strain Ecol_448	72188
NCBI	NZ_CP005088.1	pTK4	Sphingobium sp. TKS	77024
NCBI	NZ_CP014745.1	pCJDM67	Campylobacter jejuni strain OD267	118554
NCBI	NZ_CP017108.1	pLS_1	Lactobacillus salivarius strain CICC23174	283611
NCBI	NC_017064.1	pHPELS37	Helicobacter pylori ELS37	5366
NCBI	NZ_CP018792.1	pVIC8964	Campylobacter sp. RM8964	25316
NCBI	NC_002094.1	pPL1	Marinococcus halophilus	3931
NCBI	NZ_CP021806.1	psymB	Sinorhizobium meliloti strain T073	1669947
NCBI	NZ_CP010149.1	A	Escherichia coli strain D6	202345
NCBI	NZ_CP013969.1	pAhD4-4	Aeromonas hydrophila strain D4	6133
NCBI	NZ_CP011044.1	pCI1	Clavibacter michiganensis subsp. insidiosus strain R1-1	48373
NCBI	NZ_CP015366.1	pAba3207b	Acinetobacter baumannii strain 3207	81698
NCBI	NC_005324.1	p9123	Escherichia coli	6312
NCBI	NC_015952.1	pSTRVI02	Streptomyces violaceusniger Tu 4113	193883
NCBI	NZ_CP012188.1	unnamed1	Lactobacillus paracasei strain CAUH35	74356
NCBI	NZ_CM000914.1	pSCL4	Streptomyces clavuligerus ATCC 27064	1822166
NCBI	NC_016827.2	pKLE01	Leuconostoc mesenteroides subsp. mesenteroides J18	37786
NCBI	NZ_CP015071.1	pEC743_OXA48	Escherichia coli strain Ecol_743	70465
NCBI	NZ_CP012709.1	3	Psychrobacter urativorans strain R10.10B	24557
NCBI	NC_002104.1	Gro4059	Gracilaria robusta	4118
NCBI	NZ_CP013491.1	pRspN6212a	Rhizobium sp. N6212	319658
NCBI	NC_015181.1	pACMV6	Acidiphilium multivorum AIU301	12300
NCBI	NC_014725.1	pCK41	Edwardsiella tarda strain CK41	73874
NCBI	NC_005707.1	pBc10987	Bacillus cereus ATCC 10987	211347
NCBI	NC_011315.1	pVSAL54	Aliivibrio salmonicida LFI1238	5438
NCBI	NZ_CM003649.1	unnamed	Dickeya solani strain PPO 9019	44205
NCBI	NC_019939.1	pPSEST03	Pseudomonas stutzeri RCH2	2846
NCBI	NZ_CP020751.1	unnamed8	Bacillus mycoides strain Gnyt1	10819
NCBI	NZ_CP007544.1	pSYLB	Synechocystis sp. PCC 6714	104996
NCBI	NC_016046.1	pOBV01	Oscillibacter valericigenes Sjm18-20	61453
NCBI	NZ_LN890334.1	IV	Leuconostoc gelidum subsp. gasicomitatum KG16-1 genome assembly Leuconostoc gelidum subsp. gasicomitatum KG16-1,	19966
NCBI	NZ_LT904895.1	2	Salmonella enterica subsp. enterica serovar Typhi strain ERL12960 genome assembly,	108230
NCBI	NZ_CP014649.1	pKPN-fff	Klebsiella pneumoniae strain KPNIH36	135392
